Kode,Sektor,Sub Sektor
LAND,Properti & Real Estat,Properti & Real Estat
PRIM,Kesehatan,Kesehatan
BIRD,Transportasi & Logistik,Transportasi & Logistik
BRRC,Barang Konsumen Primer,Retail Kebutuhan Primer
MAIN,Barang Konsumen Primer,Produsen Pangan / pakan
KREN,Teknologi,Teknologi
LIVE,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
MTFN,Energi,Energi
MBAP,Energi,Energi
CFIN,Keuangan,Keuangan
SUNI,Energi,Energi
PRDL,Kesehatan,Kesehatan
BATR,Barang Baku,Barang Baku
DGWG,Barang Baku,Barang Baku
ERAA,Barang Konsumen Non-Primer,Retail Elektronik
AUTO,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
URBN,Properti & Real Estat,Properti & Real Estat
ADHI,Infrastruktur,Infrastruktur
ANJT,Barang Konsumen Primer,Perkebunan Sawit
DAAZ,Barang Baku,Trading Tambang
AMMS,Barang Konsumen Primer,Barang Konsumen Primer
ITMA,Energi,Infrastruktur pertambangan
INDO,Properti & Real Estat,Properti & Real Estat
CLPI,Barang Baku,Barang Baku
GDST,Barang Baku,Barang Baku
PNBN,Keuangan,Keuangan
PSAB,Barang Baku,Trading Tambang
BIKE,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
