Kode,Sektor,Sub Sektor
MGLV,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
KING,Perindustrian,Perindustrian
ESTA,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
STTP,Barang Konsumen Primer,Barang Konsumen Primer
TNCA,Transportasi & Logistik,Transportasi & Logistik
ENAK,Barang Konsumen Non-Primer,Restoran & Catering
RAJA,Energi,Infrastruktur pertambangan
WIIM,Barang Konsumen Primer,Barang Konsumen Primer
MEDS,Kesehatan,Kesehatan
INPS,Energi,Energi
KARW,Infrastruktur,Infrastruktur
FORE,Barang Konsumen Primer,Barang Konsumen Primer
VERN,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
BSML,Energi,Energi
OPMS,Barang Baku,Barang Baku
RATU,Energi,Tambang Gas & Minyak
LPIN,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
PTRO,Energi,Infrastruktur pertambangan
HOMI,Properti & Real Estat,Properti & Real Estat
WAPO,Barang Konsumen Primer,Agrobisnis
DMND,Barang Konsumen Primer,Barang Konsumen Primer
MKPI,Properti & Real Estat,Properti & Real Estat
ANDI,Barang Konsumen Primer,Barang Konsumen Primer
JPFA,Barang Konsumen Primer,Barang Konsumen Primer
AMIN,Perindustrian,Produsen alat industri
DKFT,Barang Baku,Tambang Nikel
MAYA,Keuangan,Keuangan
BUMI,Energi,Tambang Batu bara
ACES,Barang Konsumen Non-Primer,Retail kebutuhan non primer
SFAN,Keuangan,Keuangan
TGRA,Infrastruktur,Infrastruktur
JTPE,Perindustrian,Perindustrian
DADA,Properti & Real Estat,Properti
TSPC,Kesehatan,Kesehatan
WICO,Barang Konsumen Primer,Barang Konsumen Primer
OBAT,Kesehatan,Farmasi
KUAS,Perindustrian,Alat bangunan
SOTS,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
SICO,Energi,Energi
MTMH,Kesehatan,Kesehatan
SRIL,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
TCPI,Energi,Logistik Laut
IPAC,Properti & Real Estat,Properti & Real Estat
BALI,Infrastruktur,Infrastruktur
PANI,Properti & Real Estat,Properti
ATAP,Properti & Real Estat,Properti & Real Estat
BTPS,Keuangan,Keuangan
ADMR,Energi,Tambang Batu bara
POLI,Properti & Real Estat,Properti & Real Estat
WIDI,Perindustrian,Perindustrian
KOCI,Properti & Real Estat,Properti & Real Estat
TRUK,Transportasi & Logistik,Transportasi & Logistik
ESTI,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
NEST,Barang Konsumen Primer,Barang Konsumen Primer
SLIS,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
GMFI,Infrastruktur,Infrastruktur
PNGO,Barang Baku,Barang Baku
LCKM,Infrastruktur,Infrastruktur Telekomunikasi
PURI,Properti & Real Estat,Properti & Real Estat
SBAT,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
LINK,Infrastruktur,Telekomunikasi
BAUT,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
RIMO,Properti & Real Estat,Properti & Real Estat
PSGO,Barang Konsumen Primer,Barang Konsumen Primer
AMAN,Properti & Real Estat,Properti & Real Estat
MBSS,Energi,Energi
TINS,Barang Baku,Tambang Timah
